Year,State,NMFS.Name,Pounds,Metric.Tons,Dollars,Confidentiality,Collection,Scientific.Name,Tsn,Source
2000,RHODE ISLAND,MENHADENS **,320000,145,19200,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2000,VIRGINIA,MENHADENS **,367130978,166530,27565919,Public,Commercial,Brevoortia ,161731,ACCSPHIST
1999,CONNECTICUT,MENHADENS **,30298,14,4550,Public,Commercial,Brevoortia ,161731,ACCSPHIST
1999,DELAWARE,MENHADENS **,78551,36,7034,Public,Commercial,Brevoortia ,161731,ACCSPHIST
1999,FLORIDA-EAST,MENHADENS **,288144,131,96637,Public,Commercial,Brevoortia ,161731,ACCSPHIST
1999,MARYLAND,MENHADENS **,5721212,2595,463483,Public,Commercial,Brevoortia ,161731,ACCSPHIST
1999,MASSACHUSETTS,MENHADENS **,904200,410,36168,Public,Commercial,Brevoortia ,161731,ACCSPHIST
1999,NEW JERSEY,MENHADENS **,31036717,14078,2429283,Public,Commercial,Brevoortia ,161731,ACCSPHIST
1999,NEW YORK,MENHADENS **,11511,5,2917,Public,Commercial,Brevoortia ,161731,ACCSPHIST
1999,NORTH CAROLINA,MENHADENS **,42799082,19414,2680644,Public,Commercial,Brevoortia ,161731,ACCSPHIST
1999,RHODE ISLAND,MENHADENS **,2330,1,590,Public,Commercial,Brevoortia ,161731,ACCSPHIST
1999,VIRGINIA,MENHADENS **,378158210,171531,30221972,Public,Commercial,Brevoortia ,161731,ACCSPHIST
1998,CONNECTICUT,MENHADENS **,338817,154,50829,Public,Commercial,Brevoortia ,161731,ACCSPHIST
1998,DELAWARE,MENHADENS **,58048,26,6155,Public,Commercial,Brevoortia ,161731,ACCSPHIST
1998,FLORIDA-EAST,MENHADENS **,301566,137,86872,Public,Commercial,Brevoortia ,161731,ACCSPHIST
1998,MARYLAND,MENHADENS **,4463884,2025,426307,Public,Commercial,Brevoortia ,161731,ACCSPHIST
1998,NEW HAMPSHIRE,MENHADENS **,9,0,5,Public,Commercial,Brevoortia ,161731,ACCSPHIST
