,,,,,,,,,,
Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2003,FLORIDA-EAST,MENHADENS **,"35,810",16,"20,608",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2003,MARYLAND,MENHADENS **,"4,231,660","1,919","336,860",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2003,NEW JERSEY,MENHADENS **,"20,450,091","9,276","1,478,493",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2003,NEW YORK,MENHADENS **,"148,575",67,"21,129",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2003,NORTH CAROLINA,MENHADENS **,"48,936,503","22,197","1,748,071",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2003,VIRGINIA,MENHADENS **,"373,867,599","169,585","22,511,216",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2002,CONNECTICUT,MENHADENS **,"1,138,788",517,"291,534",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2002,DELAWARE,MENHADENS **,"83,015",38,"7,902",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2002,FLORIDA-EAST,MENHADENS **,"55,304",25,"30,365",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2002,MARYLAND,MENHADENS **,"4,850,391","2,200","423,271",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2002,NEW JERSEY,MENHADENS **,"24,725,015","11,215","1,577,936",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2002,NEW YORK,MENHADENS **,"6,480",3,"1,065",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2002,NORTH CAROLINA,MENHADENS **,"69,190,601","31,385","5,045,423",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2002,VIRGINIA,MENHADENS **,"364,941,378","165,536","22,113,124",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2001,CONNECTICUT,MENHADENS **,"38,865",18,"9,722",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2001,DELAWARE,MENHADENS **,"53,254",24,"4,291",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2001,FLORIDA-EAST,MENHADENS **,"179,951",82,"79,875",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2001,MARYLAND,MENHADENS **,"4,618,607","2,095","381,750",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2001,NEW JERSEY,MENHADENS **,"26,375,573","11,964","1,506,823",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2001,NEW YORK,MENHADENS **,"296,116",134,"30,523",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2001,NORTH CAROLINA,MENHADENS **,"56,012,398","25,407","4,551,444",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2001,VIRGINIA,MENHADENS **,"487,143,843","220,967","25,859,656",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2000,CONNECTICUT,MENHADENS **,"14,423",7,"1,444",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2000,DELAWARE,MENHADENS **,"47,980",22,"6,790",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2000,FLORIDA-EAST,MENHADENS **,"263,747",120,"112,823",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2000,MARYLAND,MENHADENS **,"4,870,835","2,209","522,909",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2000,NEW JERSEY,MENHADENS **,"31,266,780","14,183","1,875,061",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2000,NEW YORK,MENHADENS **,"282,920",128,"70,202",Public,Commercial,Brevoortia ,161731,ACCSPHIST
